County,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Total,TXST_Share
ARCHER,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0
BAILEY,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
BAYLOR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CALLAHAN,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
CARSON,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0
CASTRO,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CHILDRESS,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0
COLLINGSWORTH,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CROCKETT,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
DALLAM,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0
DAWSON,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0
DEAF SMITH,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0
DEAF SMITH CO,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0
DONLEY,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
EASTLAND,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0
GARZA,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
GRAY,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0
HALE,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,161.0,0.0
HAMILTON,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
HANSFORD,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0
HARDEMAN,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
HASKELL,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0
HEMPHILL,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0
HOCKLEY,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0
HOWARD,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0
HUTCHINSON,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0
HUTCHINSON CO,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0
JACK,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
JONES,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,22.0,0.0
KIMBLE,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
LAMB,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
LYNN,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0
MARTIN,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0
MCCULLOCH COU,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
MOORE,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0
OCHILTREE,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
OCHILTREE COU,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
OLDHAM,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
PALO PINTO,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
PARMER,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0
PECOS,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,46.0,0.0
REAGAN,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
RUNNELS,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
SHACKELFORD,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
SHACKELFORD C,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
STERLING,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
TERRY,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
WARD,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
WILBARGER,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
WINKLER,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
YOUNG,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,71.0,0.0
MARION,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
NEWTON,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,29.0,0.0
SABINE,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0
SAN AUGUSTINE,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0
TRINITY,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
TYLER,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0
BROOKS,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
DUVAL,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
JIM HOGG,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
RAINS,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
