County_Name,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,Year,County
Wilbarger County,22.933333333333334,25.599999999999998,94.39999999999999,2024,WILBARGER
Willacy County,2.0,2.9,82.825,2024,WILLACY
Williamson County,24.372727272727275,41.20909090909091,75.22727272727273,2024,WILLIAMSON
Wilson County,11.125,27.175,76.625,2024,WILSON
Winkler County,11.700000000000001,19.799999999999997,74.65,2024,WINKLER
Wise County,12.942857142857145,24.042857142857144,81.38571428571429,2024,WISE
Wood County,20.733333333333334,31.849999999999998,55.81666666666666,2024,WOOD
Yoakum County,13.0,12.05,50.9,2024,YOAKUM
Young County,23.5,43.93333333333334,64.63333333333334,2024,YOUNG
Zapata County,1.6,3.2,75.3,2024,ZAPATA
Zavala County,,3.2,59.75,2024,ZAVALA
