County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
SHERMAN,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMITH,7426.0,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,0.28279019660651766
SOMERVELL,126.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0
SOMERVELL COU,182.0,5.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,2.7472527472527473
STARR,3627.0,19.0,88.0,66.0,0.0,0.0,134.0,0.0,0.0,0.5238489109456851
STEPHENS,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STERLING,57.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
SUTTON,193.0,5.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,2.5906735751295336
SWISHER,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARRANT,55816.0,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,1.9367206535760355
TAYLOR,5572.0,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,1.9023689877961234
TERRY,223.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
TITUS,1308.0,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,0.0
TOM GREEN,1737.0,20.0,40.0,43.0,139.0,0.0,18.0,10.0,0.0,1.1514104778353482
TOM GREEN COU,1533.0,23.0,27.0,48.0,103.0,0.0,5.0,7.0,0.0,1.5003261578604044
TRAVIS,26933.0,3335.0,3129.0,1621.0,700.0,53.0,1449.0,551.0,453.0,12.382578992314262
TRINITY,287.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
TYLER,431.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
UPSHUR,1277.0,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.39154267815191857
UPTON,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UVALDE,867.0,20.0,0.0,21.0,11.0,0.0,58.0,0.0,0.0,2.306805074971165
VAL VERDE,887.0,45.0,31.0,46.0,29.0,0.0,103.0,0.0,0.0,5.0732807215332585
VAL VERDE COU,840.0,44.0,43.0,52.0,25.0,0.0,87.0,0.0,0.0,5.238095238095238
VAN ZANDT,895.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,0.0
VAN ZANDT COU,972.0,0.0,0.0,31.0,0.0,7.0,0.0,0.0,0.0,0.0
VICTORIA,1969.0,120.0,60.0,96.0,0.0,0.0,75.0,0.0,5.0,6.094464195022854
WALKER,1727.0,36.0,25.0,74.0,12.0,0.0,36.0,23.0,12.0,2.0845396641574987
WALLER,1505.0,70.0,27.0,124.0,10.0,0.0,12.0,0.0,21.0,4.651162790697675
WARD,326.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
WASHINGTON,531.0,24.0,6.0,59.0,0.0,0.0,6.0,0.0,0.0,4.519774011299435
WASHINGTON CO,532.0,0.0,8.0,47.0,5.0,0.0,6.0,0.0,0.0,0.0
