County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
FREESTONE COU,367.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,11.0,2.997275204359673,0.0,False,49.68828791276737,100.0,97.00272479564033,0.0,⚫ Small Market
FRIO,360.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,True,UTSA,12.0,3.3333333333333335,2.5,False,49.52676977271426,97.5,96.66666666666667,0.0,⚫ Small Market
GAINES,425.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,True,Texas Tech,34.0,8.0,1.1764705882352942,False,50.91917776649494,98.82352941176471,92.0,0.0,⚫ Small Market
GALVESTON,9107.0,409.0,377.0,636.0,178.0,103.0,134.0,67.0,626.0,True,Texas A&M,636.0,6.983638959042494,4.491050840013177,True,76.67522198742743,95.50894915998683,93.0163610409575,85.59356794990126,🔥 TOP PRIORITY
GALVESTON COU,8886.0,373.0,409.0,601.0,214.0,70.0,126.0,106.0,640.0,True,UH,640.0,7.202340760747243,4.197614224623003,True,76.46863655018592,95.80238577537699,92.79765923925275,85.53456585555661,🔥 TOP PRIORITY
GARZA,131.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,3.816793893129771,0.0,False,41.0654471661292,100.0,96.18320610687023,0.0,⚫ Small Market
GILLESPIE,364.0,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,True,Texas A&M,42.0,11.538461538461538,6.593406593406594,False,49.619445330846645,93.4065934065934,88.46153846153847,0.0,⚫ Small Market
GILLESPIE COU,332.0,27.0,16.0,30.0,20.0,0.0,5.0,5.0,0.0,True,Texas A&M,30.0,9.036144578313252,8.132530120481928,False,48.84776657688044,91.86746987951807,90.96385542168674,0.0,⚫ Small Market
GOLIAD,278.0,20.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,True,TXST,20.0,7.194244604316546,7.194244604316546,False,47.35974007833186,92.80575539568345,92.80575539568345,0.0,⭐ TXST Territory
GONZALES,502.0,66.0,6.0,35.0,0.0,0.0,31.0,0.0,0.0,True,TXST,66.0,13.147410358565736,13.147410358565736,True,52.316543046879026,86.85258964143426,86.85258964143426,0.0,⭐ TXST Territory
GRAY,499.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,True,Texas Tech,43.0,8.617234468937877,0.0,False,52.266232497257505,100.0,91.38276553106212,0.0,⚫ Small Market
GRAYSON,3926.0,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,True,UNT,84.0,2.139582272032603,1.0188487009679064,True,69.599892689921,98.98115129903209,97.8604177279674,84.06637528026361,🔥 TOP PRIORITY
GREGG,4276.0,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,True,Texas A&M,138.0,3.2273152478952296,0.4443405051449953,True,70.31792423737203,99.555659494855,96.77268475210477,84.38019691756347,🔥 TOP PRIORITY
